Source:,C:\Users\Kai Roy\Desktop\ECE 406\Wii Guitar\Wii Guitar PCB\Wii Guitar.kicad_sch,,,,,,,,,,,
Date:,2/26/2023 12:25,,,,,,,,,,,
Tool:,Eeschema (6.0.1),,,,,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,
Component Count:,35,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,Resistance,STANDARD
,,C1,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,399-C0805C104K5RAC3123CT-ND,,,,,
,,C2,10nF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,13-CC0805KPX7R9BB103CT-ND,,,,,
,,C3,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,C4,10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-1096-1-ND,,,,,
,,C5,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,399-C0805C104K5RAC3123CT-ND,,,,,
,,C6,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,C7,4.7uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,C8,47pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,311-1107-1-ND,,,,,
,,C9,47pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,311-1107-1-ND,,,,,
,,C10,10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-1096-1-ND,,,,,
,,C11,33uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,FB1,600H,Device:FerriteBead_Small,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.vishay.com/docs/34102/ilhb.pdf,541-2302-1-ND,,,,,
,,H1,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,H2,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,H3,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,H4,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,J1,USB_C_Receptacle_USB2.0,Connector:USB_C_Receptacle_USB2.0,Connector_USB:USB_C_Receptacle_JAE_DX07S024WJ1R350,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,670-2949-1-ND,,,,,
,,J2,Wii Guitar,Connector_Generic:Conn_01x05,Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,~,,,,,,
,,J3,Battery,Connector_Generic:Conn_01x02,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,~,,,,,,
,,L1,1.5uH,Device:L,Inductor_SMD:L_Wuerth_MAPI-1610,~,732-78438313015CT-ND,,,,70mR,
,,R1,10kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,RNCP0805FTD10K0CT-ND,,,,,
,,R2,560R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,13-RT0805FRE07560RLCT-ND,,,,,
,,R3,5.1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R4,5.1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R5,1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R6,2kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R7,27R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R8,27R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R9,10kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,RNCP0805FTD10K0CT-ND,,,,,
